N,P,K,pH,temperature,humidity,rainfall,region,label
25,127,207,6.2,24.1,91.7,139.0,Ballari,Apple
22,36,20,6.4,28.2,63.6,23.1,Hassan,Mungbean
17,20,48,6.8,25.3,96.2,122.7,Chitradurga,Pomegranate
23,67,21,6.2,23.2,29.2,145.4,Davanagere,Kidneybeans
94,31,24,6.9,21.8,55.6,126.9,Belagavi,Coffee
91,27,20,6.4,26.8,52.5,100.6,Davanagere,Coffee
27,20,6,7.4,12.2,91.0,135.8,Mandya,Orange
79,53,25,6.1,27.5,47.1,119.7,Belagavi,Maize
23,62,24,7.4,26.6,13.0,56.1,Belagavi,Lentil
24,28,34,5.9,26.2,42.3,102.3,Mysuru,Mango
89,54,39,7.5,27.4,85.8,182.9,Mandya,Jute
24,40,11,6.7,30.0,60.9,54.8,Chitradurga,Mothbeans
11,32,17,5.9,11.2,87.6,118.3,Ballari,Orange
30,25,25,5.7,28.4,79.8,188.3,Tumakuru,Coconut
29,15,8,6.2,24.0,98.2,101.1,Shivamogga,Orange
26,19,2,6.5,25.3,98.7,116.0,Mandya,Orange
130,51,27,6.3,29.8,74.9,100.2,Belagavi,Cotton
15,18,39,5.7,19.3,77.1,102.7,Shivamogga,Pomegranate
26,77,32,7.7,22.4,21.3,34.0,Tumakuru,Chickpea
12,128,202,5.3,19.0,91.9,135.3,Belagavi,Apple
40,137,194,5.7,21.5,93.0,125.2,Shivamogga,Apple
21,136,207,6.0,8.9,75.6,55.9,Mysuru,Grapes
41,135,196,5.3,25.0,86.5,135.2,Davanagere,Apple
18,7,13,6.7,35.0,90.5,130.4,Mandya,Orange
59,48,57,7.0,38.4,85.1,251.0,Shivamogga,Papaya
21,56,23,5.7,36.9,26.4,144.8,Mysuru,Pigeonpeas
17,30,26,5.7,26.5,54.2,71.9,Mysuru,Mango
114,41,11,8.0,25.9,60.0,66.1,Vijayapura,Cotton
41,132,204,5.8,19.6,86.9,129.1,Hassan,Apple
90,22,34,6.0,22.3,64.5,126.0,Mysuru,Coffee
23,26,17,6.4,12.6,96.7,111.6,Hassan,Orange
90,10,41,6.2,24.7,88.3,42.7,Tumakuru,Watermelon
12,45,12,7.6,26.2,51.7,43.9,Mysuru,Mothbeans
104,89,57,6.0,29.5,84.7,91.4,Vijayapura,Banana
37,58,24,6.3,33.1,62.1,84.2,Vijayapura,Blackgram
25,74,21,6.2,21.5,17.1,49.6,Mandya,Lentil
71,50,40,7.5,22.8,94.8,189.4,Davanagere,Jute
91,69,46,6.0,24.5,89.5,131.9,Tumakuru,Banana
63,64,45,7.3,18.5,76.5,220.0,Vijayapura,Rice
12,30,28,9.1,28.4,29.3,48.0,Tumakuru,Mothbeans
19,7,27,5.9,25.8,75.6,184.1,Mandya,Coconut
92,63,42,6.1,29.5,71.2,267.1,Tumakuru,Rice
70,62,33,7.0,22.2,88.2,150.4,Shivamogga,Jute
15,33,16,6.6,29.6,48.6,37.0,Hassan,Mothbeans
44,53,45,6.3,15.6,13.9,77.0,Ballari,Chickpea
93,95,47,6.2,28.2,71.7,111.3,Ballari,Banana
56,48,14,6.9,22.0,49.7,93.8,Shivamogga,Maize
87,27,57,6.5,25.1,82.0,69.2,Chitradurga,Muskmelon
36,54,42,6.9,26.7,18.2,53.6,Mysuru,Chickpea
29,25,34,6.2,16.5,79.6,97.1,Davanagere,Pomegranate
109,60,25,6.2,28.5,63.5,65.1,Ballari,Cotton
132,49,18,6.9,20.1,64.6,58.0,Chitradurga,Cotton
14,26,29,6.2,26.2,82.1,190.6,Belagavi,Coconut
93,53,21,6.7,20.3,73.1,116.7,Ballari,Maize
18,22,31,5.9,26.8,54.6,71.6,Chitradurga,Mango
17,141,207,5.9,14.9,72.7,61.3,Ballari,Grapes
17,38,21,4.4,33.2,27.6,18.4,Mysuru,Mothbeans
105,32,52,6.2,29.6,82.9,70.9,Vijayapura,Muskmelon
14,57,20,6.4,31.0,59.2,43.0,Ballari,Mungbean
11,9,39,6.1,25.1,97.0,161.0,Mysuru,Coconut
129,43,27,6.8,23.2,65.4,78.8,Shivamogga,Cotton
92,62,34,7.5,24.9,71.3,178.8,Belagavi,Jute
17,29,29,4.9,26.4,45.5,91.8,Ballari,Mango
16,53,14,7.0,17.3,15.1,22.7,Belagavi,Lentil
34,126,192,5.4,14.1,77.2,40.3,Ballari,Grapes
58,30,35,6.8,23.2,87.2,219.9,Shivamogga,Rice
76,53,48,6.2,27.9,84.4,205.3,Shivamogga,Jute
90,17,35,6.2,28.5,59.4,218.3,Vijayapura,Coffee
101,27,57,6.4,24.9,82.1,30.5,Tumakuru,Watermelon
106,18,37,7.0,27.0,63.7,207.8,Hassan,Coffee
42,35,49,6.8,37.8,88.1,249.1,Mysuru,Papaya
16,32,45,5.3,20.5,92.6,138.5,Mysuru,Pomegranate
22,124,207,5.8,34.5,78.2,51.9,Ballari,Grapes
18,23,33,4.8,23.2,97.9,229.1,Hassan,Coconut
25,78,44,7.6,23.2,21.4,60.8,Mysuru,Chickpea
81,44,47,6.2,33.5,70.4,168.0,Davanagere,Rice
25,55,21,4.9,22.8,57.9,69.4,Tumakuru,Mothbeans
32,25,23,6.5,29.3,53.6,81.2,Shivamogga,Mango
12,126,194,5.3,14.7,89.2,90.9,Mysuru,Grapes
109,98,43,5.5,23.9,75.9,102.2,Davanagere,Banana
31,56,47,6.9,17.4,24.4,77.7,Hassan,Chickpea
23,126,207,5.5,20.6,72.1,50.3,Davanagere,Grapes
34,55,24,7.2,26.2,68.1,70.8,Mandya,Blackgram
105,9,45,6.6,31.0,77.0,39.4,Vijayapura,Muskmelon
22,57,30,6.8,20.9,22.7,69.2,Chitradurga,Chickpea
38,129,205,5.4,23.3,99.0,139.4,Tumakuru,Apple
93,18,40,6.5,28.7,80.1,70.2,Mysuru,Watermelon
22,28,19,6.2,31.9,87.2,100.3,Davanagere,Orange
12,42,19,5.2,30.1,46.3,48.5,Davanagere,Mothbeans
13,136,203,6.0,25.9,97.3,127.6,Hassan,Apple
102,20,20,6.5,28.6,72.9,173.9,Tumakuru,Coffee
18,69,48,6.0,17.3,25.6,29.6,Mandya,Chickpea
68,35,40,6.8,23.7,86.8,182.4,Hassan,Jute
99,73,43,6.2,26.4,88.2,125.5,Chitradurga,Banana
11,56,24,6.4,19.1,17.3,22.1,Vijayapura,Lentil
84,55,15,6.7,27.7,60.6,63.4,Mandya,Maize
56,60,58,6.7,37.7,85.2,165.9,Mysuru,Papaya
15,21,41,5.5,16.8,92.8,137.3,Tumakuru,Pomegranate
57,63,34,6.0,18.0,78.6,310.2,Mysuru,Rice
84,37,47,6.9,30.3,68.5,317.0,Hassan,Rice
86,48,41,6.0,24.3,86.1,196.1,Tumakuru,Jute
38,64,27,7.0,24.2,58.5,58.2,Chitradurga,Blackgram
17,22,35,5.7,21.4,87.8,133.6,Mysuru,Pomegranate
25,24,10,7.3,18.4,91.5,88.8,Tumakuru,Orange
79,47,44,7.5,23.6,72.8,178.9,Davanagere,Jute
100,95,55,6.2,24.5,70.1,86.5,Chitradurga,Banana
78,37,33,7.5,22.5,77.3,171.3,Vijayapura,Jute
11,69,16,5.6,19.2,23.4,67.8,Mysuru,Kidneybeans
85,96,59,5.9,26.9,80.0,138.2,Chitradurga,Banana
101,96,57,5.5,27.0,74.1,137.9,Tumakuru,Banana
11,16,36,5.4,33.2,44.5,99.8,Mandya,Mango
33,51,40,6.5,23.2,29.4,43.1,Chitradurga,Chickpea
25,32,38,5.3,34.7,59.6,96.4,Mandya,Mango
13,138,192,6.0,21.0,95.8,101.5,Davanagere,Apple
12,67,21,5.6,18.0,22.3,107.8,Chitradurga,Kidneybeans
24,132,201,6.7,27.9,78.7,83.1,Belagavi,Grapes
122,40,11,7.4,28.5,45.2,77.8,Chitradurga,Cotton
10,15,23,6.6,30.4,46.5,99.3,Hassan,Mango
108,31,31,7.1,28.4,49.7,107.9,Vijayapura,Coffee
92,36,30,7.1,27.3,80.3,202.2,Tumakuru,Jute
24,72,11,5.9,22.5,18.2,59.8,Shivamogga,Lentil
13,6,22,5.8,27.5,89.7,155.2,Shivamogga,Coconut
40,67,25,7.0,31.9,63.2,58.8,Belagavi,Blackgram
82,43,39,6.5,26.5,88.5,180.1,Shivamogga,Jute
25,39,21,7.1,28.8,55.6,76.7,Tumakuru,Mungbean
11,28,4,7.4,23.3,92.4,113.6,Belagavi,Orange
22,22,14,7.5,31.9,89.0,100.7,Mysuru,Orange
91,59,38,7.1,23.2,78.8,141.3,Shivamogga,Jute
73,31,39,7.1,18.7,65.8,246.7,Ballari,Rice
12,33,37,6.2,24.6,83.3,201.1,Belagavi,Coconut
59,45,15,6.7,23.7,61.1,47.8,Belagavi,Maize
12,22,38,5.8,27.3,92.1,161.1,Hassan,Coconut
98,88,47,6.7,28.4,82.1,132.9,Belagavi,Banana
24,37,30,6.9,20.4,90.3,120.5,Ballari,Pomegranate
19,33,39,7.0,25.8,85.9,109.5,Belagavi,Pomegranate
18,49,10,7.0,30.3,26.3,64.0,Chitradurga,Mothbeans
43,49,57,6.4,37.6,91.7,263.8,Chitradurga,Papaya
17,31,48,6.6,22.0,90.4,86.9,Davanagere,Pomegranate
14,11,32,5.6,29.3,86.0,221.9,Chitradurga,Coconut
22,122,206,6.1,33.0,83.4,89.8,Chitradurga,Grapes
31,57,16,6.6,35.9,65.0,46.1,Belagavi,Blackgram
22,57,20,6.2,26.3,13.4,125.5,Mysuru,Kidneybeans
97,90,42,6.6,23.3,85.5,121.4,Shivamogga,Banana
44,127,201,6.6,25.3,91.8,90.1,Hassan,Apple
63,39,14,5.7,17.2,71.9,60.9,Mysuru,Maize
11,70,14,5.3,25.2,13.4,127.8,Hassan,Kidneybeans
32,32,25,5.8,23.1,93.9,189.4,Shivamogga,Coconut
106,23,54,7.0,27.2,84.6,45.8,Belagavi,Watermelon
10,68,17,7.5,16.6,15.5,38.4,Ballari,Lentil
22,7,27,6.2,26.1,78.0,153.3,Mandya,Coconut
18,63,32,6.6,26.6,17.7,59.5,Mandya,Chickpea
89,27,25,7.0,22.0,47.4,105.4,Belagavi,Coffee
104,30,52,6.4,25.5,94.8,44.3,Ballari,Watermelon
113,8,41,6.3,28.3,93.7,28.9,Belagavi,Watermelon
27,61,25,7.3,30.4,15.3,21.8,Davanagere,Lentil
107,41,27,6.5,20.6,64.4,64.3,Hassan,Cotton
32,137,199,5.7,33.2,81.2,46.9,Belagavi,Grapes
11,16,39,6.0,26.4,94.5,218.3,Hassan,Coconut
27,25,32,5.8,24.4,77.1,92.1,Chitradurga,Pomegranate
17,70,13,7.2,28.3,24.3,15.9,Chitradurga,Lentil
54,60,52,7.1,26.1,94.8,170.9,Shivamogga,Papaya
103,21,55,6.3,30.5,89.3,77.4,Belagavi,Muskmelon
94,62,49,6.9,25.7,66.6,185.1,Davanagere,Jute
110,20,54,7.0,24.1,94.6,67.2,Belagavi,Watermelon
124,44,13,8.0,25.4,70.7,56.0,Tumakuru,Cotton
32,123,194,5.3,30.0,81.2,74.0,Shivamogga,Grapes
27,65,13,6.4,19.9,13.2,43.9,Mandya,Lentil
111,27,26,6.4,29.4,70.1,126.4,Chitradurga,Coffee
29,59,29,6.0,25.4,17.1,130.0,Mandya,Kidneybeans
100,18,58,6.5,29.8,87.7,29.1,Mandya,Watermelon
27,68,13,6.3,30.2,30.2,46.3,Belagavi,Lentil
16,22,48,7.1,25.9,86.4,123.5,Vijayapura,Pomegranate
126,40,23,6.4,25.6,46.9,66.3,Mysuru,Cotton
23,67,18,6.1,20.3,13.5,146.7,Vijayapura,Kidneybeans
20,58,14,6.1,16.2,27.7,106.6,Tumakuru,Kidneybeans
55,54,44,7.2,31.0,94.8,177.4,Mysuru,Papaya
31,28,20,6.1,26.4,96.5,177.9,Shivamogga,Coconut
61,49,52,7.0,34.3,96.2,250.9,Ballari,Papaya
18,58,17,5.2,35.6,20.9,169.6,Belagavi,Pigeonpeas
28,22,34,5.3,26.9,52.4,99.6,Belagavi,Mango
19,52,22,6.5,27.2,21.6,118.4,Davanagere,Pigeonpeas
109,68,51,5.4,27.6,72.6,77.9,Ballari,Banana
29,142,192,5.8,24.8,86.1,95.6,Chitradurga,Apple
17,58,23,6.2,13.5,19.1,154.8,Vijayapura,Kidneybeans
33,127,191,5.3,15.2,82.8,61.3,Vijayapura,Grapes
22,28,47,6.8,21.3,86.9,112.0,Hassan,Pomegranate
61,37,50,7.0,26.1,92.6,269.8,Shivamogga,Papaya
10,31,34,5.5,29.7,41.2,82.2,Davanagere,Mango
31,62,29,7.3,24.0,56.2,92.3,Belagavi,Blackgram
10,38,13,7.4,27.2,56.0,72.6,Mysuru,Mungbean
104,19,54,6.9,22.7,77.7,25.6,Mandya,Watermelon
115,29,54,6.7,29.8,76.0,37.5,Mandya,Muskmelon
23,61,18,6.1,20.2,25.7,142.1,Ballari,Kidneybeans
23,62,12,7.2,31.7,12.4,68.5,Davanagere,Lentil
87,34,37,6.4,26.1,49.6,213.5,Davanagere,Coffee
21,50,16,5.5,29.7,63.3,89.2,Chitradurga,Mothbeans
111,96,42,5.7,27.5,75.3,84.6,Davanagere,Banana
102,11,52,6.4,29.3,77.0,48.4,Chitradurga,Muskmelon
11,24,14,6.0,12.5,92.9,124.9,Chitradurga,Orange
31,54,23,6.6,30.8,72.8,58.2,Vijayapura,Blackgram
100,17,48,6.4,30.6,87.7,78.3,Vijayapura,Muskmelon
106,32,55,5.8,27.2,90.0,70.1,Belagavi,Muskmelon
34,59,34,7.0,26.0,32.2,72.3,Mandya,Pigeonpeas
56,59,48,7.1,27.2,97.1,212.6,Hassan,Papaya
91,32,57,6.7,28.1,92.1,54.6,Shivamogga,Muskmelon
22,49,19,5.3,22.6,50.6,46.8,Belagavi,Mothbeans
41,56,15,6.4,36.6,73.1,60.5,Tumakuru,Blackgram
23,63,13,6.1,13.9,16.1,73.4,Tumakuru,Kidneybeans
69,44,27,6.6,26.8,57.4,48.1,Tumakuru,Maize
69,57,35,7.1,23.7,66.5,212.0,Vijayapura,Jute
20,52,10,6.1,28.2,68.6,49.4,Chitradurga,Mungbean
84,58,24,6.8,18.0,47.7,98.6,Vijayapura,Maize
85,44,33,6.6,26.6,80.8,219.6,Mandya,Jute
34,64,26,6.9,24.0,66.8,66.4,Mysuru,Blackgram
17,59,33,6.3,17.0,28.5,42.4,Mandya,Chickpea
26,21,28,5.8,30.5,84.7,194.8,Ballari,Coconut
36,77,29,5.2,31.0,31.4,104.1,Mysuru,Pigeonpeas
44,51,19,6.6,28.3,59.9,88.3,Davanagere,Blackgram
108,19,28,6.4,27.4,50.2,182.8,Belagavi,Coffee
29,64,34,6.4,28.1,33.7,92.4,Belagavi,Pigeonpeas
19,31,16,6.2,36.7,96.3,133.1,Chitradurga,Orange
105,68,53,6.4,30.8,85.0,132.6,Mandya,Banana
122,62,22,7.0,28.6,67.1,68.3,Hassan,Cotton
13,27,39,5.5,30.0,53.2,105.4,Hassan,Mango
27,53,26,7.6,22.2,57.4,20.8,Tumakuru,Mothbeans
35,71,19,7.7,24.0,70.7,84.1,Mandya,Blackgram
19,21,45,6.2,21.2,98.2,119.6,Hassan,Pomegranate
12,31,11,8.5,26.5,38.2,82.5,Vijayapura,Mothbeans
12,33,25,7.3,26.0,63.9,34.9,Tumakuru,Mungbean
118,15,48,6.4,26.7,94.7,74.7,Mysuru,Muskmelon
10,33,25,7.3,33.0,50.3,65.1,Hassan,Mothbeans
23,121,200,5.4,19.1,79.9,83.2,Vijayapura,Grapes
88,47,49,7.1,25.0,75.4,176.1,Davanagere,Jute
22,30,33,5.4,29.8,96.4,183.1,Shivamogga,Coconut
49,57,46,6.7,23.2,93.0,268.9,Tumakuru,Papaya
57,27,41,7.2,26.1,96.4,239.2,Mandya,Papaya
94,40,30,7.0,24.0,79.7,206.3,Shivamogga,Jute
15,17,42,7.0,23.0,90.4,108.5,Davanagere,Pomegranate
28,11,40,6.7,26.5,87.5,117.2,Mysuru,Pomegranate
117,58,17,7.7,20.3,45.4,49.2,Mandya,Cotton
124,41,27,7.0,24.3,54.1,56.5,Vijayapura,Cotton
27,132,202,6.4,19.9,80.3,79.9,Ballari,Grapes
12,56,21,6.4,26.0,15.5,52.8,Davanagere,Lentil
14,34,37,5.7,29.1,77.2,172.1,Shivamogga,Coconut
29,66,31,6.3,29.0,32.2,83.1,Mandya,Pigeonpeas
46,32,58,6.8,23.7,91.1,148.3,Ballari,Papaya
102,25,34,6.1,22.4,71.3,214.8,Vijayapura,Coffee
41,124,190,6.0,20.3,86.9,113.3,Mandya,Apple
36,51,52,6.7,30.2,96.7,174.4,Shivamogga,Papaya
13,123,196,6.0,19.9,87.6,139.6,Tumakuru,Apple
31,22,13,6.8,17.7,87.5,134.7,Belagavi,Orange
85,57,23,6.4,17.8,59.0,107.1,Belagavi,Maize
117,55,29,6.2,28.0,65.6,75.4,Mysuru,Cotton
11,28,26,6.0,34.6,47.7,107.8,Vijayapura,Mango
66,46,44,7.0,23.5,78.7,169.4,Chitradurga,Jute
10,64,25,5.7,20.7,21.0,124.1,Mandya,Kidneybeans
86,85,44,5.4,30.3,82.3,92.1,Belagavi,Banana
13,141,199,5.8,19.8,79.9,78.3,Hassan,Grapes
74,51,30,6.0,27.9,69.1,152.9,Belagavi,Jute
10,74,24,5.5,19.4,22.3,85.8,Hassan,Kidneybeans
16,56,14,6.1,15.8,28.5,74.9,Tumakuru,Kidneybeans
10,20,48,5.4,23.2,78.6,126.6,Mandya,Pomegranate
104,20,44,6.3,28.5,75.3,64.6,Chitradurga,Muskmelon
131,36,12,6.4,25.1,51.0,100.2,Ballari,Cotton
27,5,7,6.7,13.2,97.9,88.7,Vijayapura,Orange
22,133,196,6.6,28.7,76.5,81.2,Chitradurga,Grapes
16,133,204,6.6,8.8,73.8,98.7,Belagavi,Grapes
41,63,23,5.4,34.8,20.0,116.6,Mysuru,Pigeonpeas
16,56,10,5.8,16.8,18.2,75.1,Vijayapura,Kidneybeans
62,54,14,5.6,25.5,53.6,88.9,Chitradurga,Maize
18,50,29,6.2,32.2,13.5,62.3,Vijayapura,Pigeonpeas
21,16,39,5.8,18.8,78.6,91.8,Chitradurga,Pomegranate
65,63,17,6.1,17.7,58.6,69.5,Mysuru,Maize
19,55,26,6.2,21.8,21.3,38.3,Belagavi,Lentil
45,52,21,7.5,33.2,60.8,97.8,Belagavi,Blackgram
44,74,40,6.2,21.7,15.8,60.0,Shivamogga,Chickpea
38,71,16,6.0,23.3,18.4,121.2,Davanagere,Pigeonpeas
39,60,16,6.5,26.4,14.6,154.3,Davanagere,Pigeonpeas
23,61,26,6.0,22.3,28.2,121.7,Mandya,Kidneybeans
15,17,29,5.3,30.6,40.9,93.8,Hassan,Mango
90,56,41,6.4,25.0,80.5,195.9,Hassan,Rice
57,41,47,6.6,26.9,87.1,156.5,Chitradurga,Papaya
17,54,13,6.9,29.0,28.4,89.7,Hassan,Mothbeans
19,12,32,6.6,25.4,49.2,89.7,Belagavi,Mango
29,54,14,6.0,21.8,28.9,121.8,Ballari,Kidneybeans
28,18,46,6.3,22.1,84.0,83.3,Hassan,Pomegranate
38,128,201,6.6,23.0,96.9,137.9,Shivamogga,Apple
29,43,24,7.3,25.9,55.7,50.0,Mysuru,Mungbean
46,72,28,6.9,25.3,66.3,73.9,Tumakuru,Blackgram
114,19,20,7.2,22.3,54.3,111.3,Mandya,Coffee
88,95,53,5.7,26.4,74.3,104.2,Vijayapura,Banana
41,73,24,7.1,27.3,56.1,48.9,Hassan,Blackgram
80,41,37,7.6,27.7,71.7,291.8,Davanagere,Rice
114,70,57,6.2,28.3,76.5,135.8,Hassan,Banana
32,141,208,5.5,28.3,81.0,58.8,Mysuru,Grapes
44,66,28,6.3,33.7,67.5,98.2,Mysuru,Blackgram
105,24,56,6.4,27.9,89.6,33.0,Davanagere,Watermelon
21,35,38,6.1,26.2,84.3,120.7,Mysuru,Pomegranate
23,59,35,5.9,23.8,29.4,56.5,Mandya,Chickpea
30,51,39,5.9,24.8,12.5,57.9,Davanagere,Chickpea
30,122,200,5.7,29.9,79.7,61.5,Vijayapura,Grapes
84,41,48,6.9,22.1,71.8,165.3,Mandya,Jute
21,44,15,4.3,32.4,35.8,56.3,Belagavi,Mothbeans
30,50,29,6.5,28.7,17.3,80.9,Mandya,Pigeonpeas
21,72,41,7.0,16.9,32.6,41.4,Shivamogga,Chickpea
28,69,18,7.6,24.4,27.5,62.9,Vijayapura,Lentil
23,34,10,6.5,28.9,57.6,52.3,Hassan,Mungbean
113,33,36,6.1,29.5,58.6,141.7,Chitradurga,Coffee
14,34,26,4.0,23.9,31.7,50.4,Tumakuru,Mothbeans
23,57,26,5.6,16.0,14.3,69.4,Tumakuru,Kidneybeans
18,56,23,5.8,14.8,20.4,161.3,Vijayapura,Kidneybeans
17,124,209,5.9,27.8,77.6,51.4,Shivamogga,Grapes
95,27,35,6.1,28.0,62.7,182.5,Chitradurga,Coffee
88,62,46,6.0,24.9,72.5,179.5,Mysuru,Jute
16,51,26,8.9,24.4,40.1,46.0,Ballari,Mothbeans
25,46,27,6.9,26.9,65.6,27.1,Chitradurga,Mungbean
11,29,11,7.3,18.7,97.1,108.3,Mysuru,Orange
96,19,59,6.6,24.2,94.4,28.7,Hassan,Watermelon
29,70,16,5.5,23.7,11.0,65.4,Shivamogga,Pigeonpeas
35,55,33,5.2,25.8,15.9,140.8,Belagavi,Pigeonpeas
29,17,39,7.2,26.4,77.4,131.3,Tumakuru,Pomegranate
10,56,23,5.9,17.4,22.4,41.2,Mandya,Lentil
90,58,37,7.4,24.0,80.4,132.6,Ballari,Jute
88,92,45,6.7,25.5,74.4,73.3,Belagavi,Banana
83,51,15,6.9,22.6,57.8,110.4,Shivamogga,Maize
20,71,18,6.2,13.4,21.3,149.9,Shivamogga,Kidneybeans
19,5,26,5.1,26.3,87.4,195.7,Ballari,Coconut
19,22,43,6.6,19.4,83.9,89.6,Hassan,Pomegranate
26,41,24,8.4,30.4,36.1,31.8,Hassan,Mothbeans
26,27,32,4.8,29.8,99.5,262.5,Ballari,Coconut
85,45,35,6.4,19.4,65.7,217.5,Vijayapura,Rice
25,29,30,6.0,26.2,42.2,86.3,Chitradurga,Mango
22,11,21,5.4,33.8,46.7,81.9,Mysuru,Mango
13,31,13,5.1,28.5,27.1,57.2,Shivamogga,Mothbeans
110,10,51,6.3,26.8,81.4,26.6,Shivamogga,Muskmelon
26,56,20,6.5,20.1,19.8,59.2,Ballari,Lentil
22,56,26,6.8,28.9,58.4,78.1,Belagavi,Mungbean
17,29,32,5.0,27.3,43.9,103.5,Belagavi,Mango
21,21,33,4.8,31.7,46.9,89.3,Vijayapura,Mango
87,32,40,6.8,29.6,83.8,40.0,Chitradurga,Muskmelon
21,51,23,7.3,31.0,74.6,61.6,Belagavi,Mungbean
24,23,45,5.5,19.6,98.2,106.1,Hassan,Pomegranate
86,13,45,7.0,27.9,83.5,61.9,Vijayapura,Muskmelon
37,71,40,5.9,16.4,18.8,20.4,Shivamogga,Chickpea
28,59,14,5.6,19.9,21.1,104.9,Mysuru,Kidneybeans
16,5,34,6.0,29.1,90.4,222.9,Hassan,Coconut
31,65,27,7.2,34.0,57.8,69.4,Chitradurga,Blackgram
28,140,206,6.0,16.9,77.2,56.9,Belagavi,Grapes
24,37,31,6.2,26.7,98.6,133.0,Hassan,Pomegranate
35,59,11,6.5,30.6,71.5,95.3,Chitradurga,Blackgram
60,39,48,7.0,41.1,90.9,258.6,Chitradurga,Papaya
27,20,20,5.0,23.1,98.6,175.2,Davanagere,Coconut
114,11,28,6.9,24.9,51.1,132.4,Shivamogga,Coffee
26,59,26,8.3,34.0,43.9,83.9,Mandya,Mothbeans
20,126,199,6.1,35.5,76.8,75.6,Mysuru,Grapes
64,48,26,7.1,27.4,59.2,70.0,Belagavi,Maize
19,143,190,5.6,19.9,93.4,111.0,Mysuru,Apple
21,141,194,6.1,22.6,86.0,45.9,Mysuru,Grapes
22,41,24,8.7,28.7,50.7,80.2,Shivamogga,Mothbeans
23,54,18,6.0,23.0,12.3,41.3,Ballari,Kidneybeans
101,22,57,6.2,27.1,89.1,67.3,Chitradurga,Muskmelon
104,28,22,6.5,28.5,69.3,171.8,Vijayapura,Coffee
13,64,24,5.8,16.3,26.9,29.0,Vijayapura,Lentil
79,38,43,7.5,23.3,76.4,180.4,Shivamogga,Jute
31,125,192,6.1,30.5,89.8,57.2,Tumakuru,Grapes
24,12,14,6.8,35.0,95.6,97.8,Vijayapura,Orange
